participant	study	session_id	euler	rater_1	rater_3	rater_4	rater_5	rater_6	across_rater_average	qc_determination
10001	BHRC	1	-111		1	1		1	1	Pass
10001	BHRC	2	-139	1			1		1	Pass
10612	BHRC	1	-132			0.5	0.75	0.5	0.583333333	Artifact
10615	BHRC	1	-102	1			1		1	Pass
10615	BHRC	2	-65			1	1	1	1	Pass
10617	BHRC	2	-112		1	1		1	1	Pass
10618	BHRC	1	-144	1	0.75				0.875	Artifact
10618	BHRC	2	-241	0.25	0.25	0	0	0	0.1	Artifact
10620	BHRC	1	-97			1	1	1	1	Pass
10620	BHRC	2	-81	1			1		1	Pass
10621	BHRC	1	-43			1	1	1	1	Pass
10622	BHRC	1	-149			1	1	1	1	Pass
10624	BHRC	2	-110	1	1	1	0.75	0.5	0.85	Artifact
10627	BHRC	1	-71		1	1		1	1	Pass
10627	BHRC	2	-58	0.75	1				0.875	Artifact
10628	BHRC	2	-66			1	1	1	1	Pass
10631	BHRC	1	-101	1	1				1	Pass
10631	BHRC	2	-65	1	1				1	Pass
10632	BHRC	1	-129	1			1		1	Pass
10632	BHRC	2	-70	1	1				1	Pass
10634	BHRC	1	-135		0.75	1		0.75	0.833333333	Artifact
10634	BHRC	2	-97	1	1	1	1	1	1	Pass
10637	BHRC	1	-68		1	1		1	1	Pass
10640	BHRC	3	-53	1			1		1	Pass
10643	BHRC	1	-125	1			1		1	Pass
10643	BHRC	2	-130	1	0.75	1	1	1	0.95	Artifact
10644	BHRC	1	-87	1			1		1	Pass
10644	BHRC	2	-78	1			1		1	Pass
10646	BHRC	1	-118	1	1				1	Pass
10646	BHRC	2	-104	1	1	1	1	1	1	Pass
10648	BHRC	1	-106	1	0.75				0.875	Artifact
10648	BHRC	2	-111			0.75	1	0.75	0.833333333	Artifact
10649	BHRC	1	-78	1	1	1	1	1	1	Pass
10650	BHRC	1	-157		0	0.5		0.5	0.333333333	Artifact
10650	BHRC	2	-69	1	1				1	Pass
10651	BHRC	1	-103		1	1		1	1	Pass
10651	BHRC	2	-35	1	1				1	Pass
10654	BHRC	1	-72	1			1		1	Pass
10654	BHRC	2	-53	1	1	1	1	1	1	Pass
10655	BHRC	1	-85	1	1	1	1	1	1	Pass
10655	BHRC	2	-124	0.75	1	1	0.75	0.75	0.85	Artifact
10657	BHRC	1	-148		1	1		1	1	Pass
10659	BHRC	1	-67	1	1				1	Pass
10659	BHRC	2	-105	1			1		1	Pass
10662	BHRC	1	-138			1	1	1	1	Pass
10662	BHRC	2	-115			1	1	1	1	Pass
10665	BHRC	1	-52	1	1				1	Pass
10665	BHRC	2	-58	1	1	1	1	1	1	Pass
10667	BHRC	1	-200			1	0.5	0.75	0.75	Artifact
10667	BHRC	2	-47		1	1		1	1	Pass
10671	BHRC	1	-146	1	1	1	1	1	1	Pass
10671	BHRC	2	-89		1	1		1	1	Pass
10675	BHRC	1	-68		1	1		1	1	Pass
10675	BHRC	2	-49			1	1	1	1	Pass
10676	BHRC	1	-88	1	0.75	1	1	1	0.95	Artifact
10680	BHRC	1	-108	1	1	1	1	1	1	Pass
10683	BHRC	1	-90	1	1				1	Pass
10683	BHRC	2	-85	1	1				1	Pass
10684	BHRC	1	-123		1	1		1	1	Pass
10684	BHRC	2	-133	1	1				1	Pass
10685	BHRC	1	-93			1	1	1	1	Pass
10685	BHRC	2	-100	1	0.75				0.875	Artifact
10686	BHRC	1	-44	1			1		1	Pass
10687	BHRC	1	-78	1	1	1	1	1	1	Pass
10693	BHRC	1	-76		1	1		1	1	Pass
10693	BHRC	2	-57		1	1		1	1	Pass
10694	BHRC	1	-106	1	1	1	1	1	1	Pass
10695	BHRC	2	-90	1			1		1	Pass
10698	BHRC	1	-106	1	1	1	1	1	1	Pass
10698	BHRC	2	-132	1			1		1	Pass
10700	BHRC	1	-121			1	1	1	1	Pass
10700	BHRC	2	-137	1	1	1	1	1	1	Pass
10701	BHRC	1	-59		1	1		1	1	Pass
10701	BHRC	2	-63	1	1				1	Pass
10703	BHRC	1	-71			1	1	1	1	Pass
10703	BHRC	2	-63	1	1	1	1	1	1	Pass
10710	BHRC	1	-126	1	1				1	Pass
10710	BHRC	2	-152		1	1		1	1	Pass
10712	BHRC	1	-83	1			1		1	Pass
10712	BHRC	2	-88	1			1		1	Pass
10713	BHRC	1	-108	1			1		1	Pass
10718	BHRC	1	-46			1	1	1	1	Pass
10718	BHRC	2	-38	1	1				1	Pass
10740	BHRC	1	-127	1			1		1	Pass
10744	BHRC	1	-106			1	1	1	1	Pass
10744	BHRC	2	-82		1	1		1	1	Pass
10745	BHRC	1	-137		0.75	0.75		0.5	0.666666667	Artifact
10746	BHRC	1	-79			1	1	1	1	Pass
10746	BHRC	2	-73	1	1	1	1	1	1	Pass
10747	BHRC	1	-76			1	1	1	1	Pass
10749	BHRC	1	-74		1	1		1	1	Pass
10749	BHRC	2	-57	1			1		1	Pass
10751	BHRC	1	-71	1			1		1	Pass
10753	BHRC	1	-72	1	1	1	1	1	1	Pass
10754	BHRC	1	-86	1	1	1	1	1	1	Pass
10754	BHRC	2	-64	1	1	1	1	1	1	Pass
10761	BHRC	1	-77		1	1		1	1	Pass
10761	BHRC	2	-34	1	1	1	1	1	1	Pass
10762	BHRC	1	-85	1			1		1	Pass
10762	BHRC	2	-75	1			1		1	Pass
10763	BHRC	1	-80			1	1	1	1	Pass
10766	BHRC	2	-58		1	1		1	1	Pass
10772	BHRC	1	-53	1	1				1	Pass
10772	BHRC	2	-45			1	1	1	1	Pass
10773	BHRC	1	-110		0.75	1		1	0.916666667	Artifact
10773	BHRC	2	-67	1	1	1	1	1	1	Pass
10774	BHRC	1	-71	1			1		1	Pass
10779	BHRC	1	-129			1	1	1	1	Pass
10781	BHRC	1	-158	1			1		1	Pass
10782	BHRC	1	-82			1	1	1	1	Pass
10785	BHRC	1	-73	1	1	1	1	1	1	Pass
10785	BHRC	2	-62	1	1	1	1	1	1	Pass
10786	BHRC	1	-69			1	1	1	1	Pass
10786	BHRC	2	-66	1			1		1	Pass
10787	BHRC	1	-105	0.75	1	1	0.75	0.75	0.85	Artifact
10787	BHRC	2	-62		1	1		1	1	Pass
10788	BHRC	1	-155	1			1		1	Pass
10788	BHRC	2	-137	1			1		1	Pass
10790	BHRC	1	-87	1	1	1	1	1	1	Pass
10790	BHRC	2	-63	1			1		1	Pass
10791	BHRC	1	-80	1	1	1	1	1	1	Pass
10791	BHRC	2	-53			1	1	1	1	Pass
10792	BHRC	1	-156	0.75	0.75				0.75	Artifact
10794	BHRC	1	-44	1	1	1	1	1	1	Pass
10794	BHRC	2	-38		1	1		1	1	Pass
10798	BHRC	1	-53		1	1		0.75	0.916666667	Artifact
10798	BHRC	2	-70	1	1				1	Pass
10800	BHRC	1	-88	1	1				1	Pass
10806	BHRC	1	-123	1	1	1	1	1	1	Pass
10808	BHRC	1	-75	1	1				1	Pass
10808	BHRC	2	-46		1	1		1	1	Pass
10814	BHRC	1	-82		1	1		1	1	Pass
10814	BHRC	2	-82	1	1	1	1	1	1	Pass
10819	BHRC	1	-124	0.75	0.75				0.75	Artifact
10820	BHRC	1	-118	1			1		1	Pass
10821	BHRC	1	-96	1	1				1	Pass
10824	BHRC	1	-53	1	1	1	1	1	1	Pass
10824	BHRC	2	-60	1	1				1	Pass
10825	BHRC	1	-58	1	1				1	Pass
10825	BHRC	2	-46	1	1				1	Pass
10826	BHRC	1	-87			1	1	1	1	Pass
10826	BHRC	2	-83		1	1		1	1	Pass
10829	BHRC	1	-68	1	1	1	1	1	1	Pass
10829	BHRC	2	-67	1	1	1	1	1	1	Pass
10830	BHRC	1	-60			1	1	1	1	Pass
10830	BHRC	2	-73	1	1	1	1	1	1	Pass
10832	BHRC	1	-65		1	1		1	1	Pass
10832	BHRC	2	-54	1	1	1	1	1	1	Pass
10835	BHRC	2	-59	1			1		1	Pass
10841	BHRC	1	-51	1	1	1	1	1	1	Pass
10841	BHRC	2	-24	1	1				1	Pass
10845	BHRC	1	-120	1			1		1	Pass
10845	BHRC	2	-86		1	1		1	1	Pass
10849	BHRC	1	-176	1	1				1	Pass
10853	BHRC	2	-95	1	1				1	Pass
10856	BHRC	1	-103	1	1	1	1	1	1	Pass
10860	BHRC	1	-59	1	1	1	1	1	1	Pass
10860	BHRC	2	-37			1	1	1	1	Pass
10867	BHRC	1	-70	1			1		1	Pass
10869	BHRC	1	-74	1	1	1	1	1	1	Pass
10869	BHRC	2	-68	1	1				1	Pass
10873	BHRC	1	-79	1	1				1	Pass
10875	BHRC	1	-58	1			1		1	Pass
10881	BHRC	1	-150	1			1		1	Pass
10890	BHRC	1	-105		1	1		1	1	Pass
10890	BHRC	2	-101		1	1		1	1	Pass
10891	BHRC	1	-133	1	1	1	1	1	1	Pass
10893	BHRC	1	-154			1	1	1	1	Pass
10903	BHRC	1	-75	1			1		1	Pass
10903	BHRC	2	-59	1			1		1	Pass
10917	BHRC	1	-54	1	1				1	Pass
10917	BHRC	2	-51		1	1		0.75	0.916666667	Artifact
10921	BHRC	1	-91	1	1				1	Pass
10925	BHRC	1	-105			1	1	1	1	Pass
10928	BHRC	1	-48		1	1		1	1	Pass
10928	BHRC	2	-40		1	1		1	1	Pass
10930	BHRC	1	-125		1	1		0.75	0.916666667	Artifact
10934	BHRC	1	-122	1	1				1	Pass
10936	BHRC	1	-95		0.75	1		1	0.916666667	Artifact
10950	BHRC	1	-72	1			1		1	Pass
10951	BHRC	1	-172	1			1		1	Pass
10961	BHRC	1	-128	1	1	1	1	1	1	Pass
10961	BHRC	2	-74	1	1				1	Pass
10963	BHRC	1	-59			1	1	1	1	Pass
10963	BHRC	2	-68			1	1	1	1	Pass
10969	BHRC	1	-99	1	1	1	0.75	1	0.95	Artifact
10970	BHRC	1	-43	1	1	1	1	1	1	Pass
10970	BHRC	2	-72	1	1	1	1	1	1	Pass
10973	BHRC	1	-137	1	1				1	Pass
10973	BHRC	2	-109			1	1	1	1	Pass
10979	BHRC	1	-137			1	1	1	1	Pass
10979	BHRC	2	-117			1	1	1	1	Pass
10981	BHRC	1	-67	1			1		1	Pass
10981	BHRC	2	-125			1	1	0.5	0.833333333	Artifact
10984	BHRC	1	-92	1			1		1	Pass
10984	BHRC	2	-129		1	1		1	1	Pass
10987	BHRC	1	-67	1	1				1	Pass
10990	BHRC	1	-82			1	1	1	1	Pass
10990	BHRC	2	-86	1	1	1	1	1	1	Pass
11003	BHRC	1	-50		1	1		1	1	Pass
11004	BHRC	1	-70			1	1	1	1	Pass
11004	BHRC	2	-58	1	1	1	1	1	1	Pass
11005	BHRC	1	-56		1	1		1	1	Pass
11005	BHRC	2	-37	1			1		1	Pass
11018	BHRC	1	-56			1	1	1	1	Pass
11021	BHRC	1	-98	1	1				1	Pass
11030	BHRC	1	-114		0.75	1		1	0.916666667	Artifact
11030	BHRC	2	-76	1			1		1	Pass
11038	BHRC	1	-127	1	1	1	1	1	1	Pass
11038	BHRC	2	-85		1	1		1	1	Pass
11039	BHRC	1	-85	1			1		1	Pass
11044	BHRC	1	-75	1	1				1	Pass
11054	BHRC	1	-156	1	1	1	1	1	1	Pass
11058	BHRC	1	-119			1	1	1	1	Pass
11058	BHRC	2	-88			1	1	1	1	Pass
